"Member ID","Location","Joined Group on","Last visited group on","Last Attended","Total RSVPs","RSVPed Yes","RSVPed Maybe","RSVPed No","Meetups attended","No shows","Intro","Photo","Assistant Organizer","Mailing List","R Experience"
45,"Chicago, IL","February 7, 2013","February 16, 2014","February 19, 2014",2,2,0,0,2,0,"No","Yes","No","Yes",""
46,"Chicago, IL","February 12, 2019","February 12, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
47,"Chicago, IL","June 21, 2015","June 21, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
48,"Chicago, IL","April 7, 2016","November 14, 2017","November 15, 2017",3,3,0,0,3,0,"No","Yes","No","Yes",""
49,"Chicago, IL","July 24, 2016","May 17, 2017","January 24, 2017",4,3,0,1,3,0,"No","No","No","Yes",""
50,"Chicago, IL","November 2, 2016","September 21, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
51,"Chicago, IL","October 12, 2018","February 26, 2019","",0,0,0,0,0,0,"No","No","No","Yes",""
52,"Chicago, IL","September 24, 2018","September 24, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
53,"Oakland, CA","July 25, 2013","July 5, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","2 years."
54,"Chicago, IL","April 6, 2010","January 31, 2020","February 19, 2020",41,37,0,4,37,0,"Yes","No","No","Yes",""
55,"Savannah, GA","May 7, 2014","July 5, 2022","June 1, 2022",37,32,0,5,32,0,"Yes","Yes","No","Yes","Over 5 years. I use it for my work and also for my 'hobbies' of learning statistics and ML."
56,"Chicago, IL","August 17, 2016","June 13, 2021","August 20, 2019",5,4,0,1,4,0,"No","Yes","No","Yes",""
57,"Chicago, IL","May 18, 2012","May 10, 2022","June 1, 2022",10,10,0,0,10,0,"No","Yes","No","Digest","4 years."
58,"Batavia, IL","April 6, 2010","January 7, 2011","",0,0,0,0,0,0,"Yes","No","No","Yes","I've been using R since 2002."
59,"Chicago, IL","October 23, 2014","May 13, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
60,"Glenview, IL","January 22, 2013","November 1, 2015","November 5, 2015",5,4,0,1,4,0,"No","No","No","Yes",""
61,"Chicago, IL","September 12, 2011","October 30, 2012","",0,0,0,0,0,0,"Yes","Yes","No","Digest","new"
62,"Chicago, IL","June 21, 2021","June 21, 2021","",0,0,0,0,0,0,"No","Yes","No","Yes",""
63,"Chicago, IL","April 30, 2018","July 25, 2018","July 25, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
64,"Washington, DC","June 29, 2021","July 14, 2021","July 14, 2021",1,1,0,0,1,0,"No","Yes","No","Yes",""
65,"Chicago, IL","November 13, 2019","November 14, 2019","November 16, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
66,"Chicago, IL","May 22, 2017","May 22, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
67,"Chicago, IL","February 10, 2018","February 10, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
68,"Chicago, IL","September 3, 2014","July 16, 2018","July 25, 2018",3,3,0,0,3,0,"Yes","Yes","No","Yes","More than 5 years."
69,"Chicago, IL","October 23, 2017","October 23, 2017","",0,0,0,0,0,0,"No","No","No","Yes",""
70,"Chicago, IL","May 15, 2018","July 4, 2018","",1,0,0,1,0,0,"No","No","No","Yes",""
71,"New York, NY","March 21, 2019","February 14, 2020","February 19, 2020",1,1,0,0,1,0,"No","Yes","No","Yes",""
72,"Chicago, IL","September 25, 2017","September 25, 2017","",0,0,0,0,0,0,"No","No","No","Yes",""
73,"Pawtucket, RI","January 26, 2015","January 26, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
74,"Austin, TX","February 17, 2017","May 5, 2017","July 15, 2017",3,3,0,0,3,0,"No","Yes","No","Yes",""
75,"Chicago, IL","January 16, 2017","January 16, 2017","January 24, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
76,"Chicago, IL","October 18, 2019","October 21, 2019","",1,0,0,1,0,0,"No","No","No","Yes",""
77,"San Jose, CA","September 17, 2016","June 2, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
78,"Chicago, IL","January 20, 2017","January 20, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
79,"Chicago, IL","May 4, 2018","May 4, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
80,"Chicago, IL","June 24, 2016","August 30, 2016","",1,0,0,1,0,0,"No","Yes","No","Yes",""
81,"Bridgeview, IL","June 16, 2019","June 16, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
82,"Chicago, IL","October 14, 2015","May 24, 2018","May 30, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
83,"Chicago, IL","September 9, 2015","December 22, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
84,"Glenview, IL","October 22, 2017","October 25, 2017","November 15, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
85,"Chicago, IL","July 16, 2016","June 15, 2021","March 29, 2018",4,2,0,2,2,0,"No","Yes","No","Yes",""
86,"Chicago, IL","October 14, 2018","January 16, 2019","November 14, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
87,"Chicago, IL","July 15, 2012","January 25, 2016","February 7, 2013",5,2,0,3,2,0,"Yes","Yes","No","Digest","Just a beginner. 1 month."
88,"Cedar Falls, IA","October 3, 2018","March 28, 2019","October 16, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
89,"Palo Alto, CA","September 14, 2016","September 15, 2016","",0,0,0,0,0,0,"No","No","No","Yes",""
90,"Chicago, IL","December 13, 2016","January 13, 2017","January 26, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
91,"Chicago, IL","July 11, 2013","September 1, 2017","January 29, 2015",2,2,0,0,2,0,"No","Yes","No","Yes",""
92,"Warsaw","May 25, 2015","May 25, 2015","",0,0,0,0,0,0,"No","No","No","Yes",""
93,"Chicago, IL","March 25, 2020","March 25, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
94,"Chicago, IL","April 26, 2017","November 15, 2017","",0,0,0,0,0,0,"No","Yes","No","No",""
95,"Chicago, IL","November 28, 2017","November 28, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
96,"Cincinnati, OH","March 6, 2020","September 6, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
97,"Chicago, IL","November 6, 2019","November 17, 2019","November 16, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
98,"Chicago, IL","July 10, 2015","June 11, 2019","May 17, 2017",5,4,0,1,4,0,"No","Yes","No","Yes",""
99,"Hyattsville, MD","June 29, 2016","April 10, 2018","August 3, 2016",2,2,0,0,2,0,"No","Yes","No","Yes",""
100,"Chicago, IL","May 3, 2017","June 11, 2017","May 17, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
101,"Singapore","January 13, 2014","February 17, 2014","February 19, 2014",1,1,0,0,1,0,"Yes","Yes","No","Yes","Yes"
102,"Chicago, IL","January 17, 2019","January 24, 2019","January 23, 2019",1,1,0,0,1,0,"No","No","No","Yes",""
103,"Chicago, IL","October 12, 2017","April 10, 2018","April 14, 2018",2,2,0,0,2,0,"No","No","No","Yes",""
104,"Chicago, IL","November 13, 2017","November 13, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
105,"Chicago, IL","May 25, 2022","May 25, 2022","June 1, 2022",1,1,0,0,1,0,"No","Yes","No","Yes",""
106,"Istanbul","March 10, 2018","December 16, 2019","",0,0,0,0,0,0,"No","No","No","Yes",""
107,"Chicago, IL","March 10, 2020","March 10, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
108,"Chicago, IL","January 16, 2018","February 22, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
109,"Elk Grove Village, IL","January 23, 2019","January 23, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
110,"Chicago, IL","May 7, 2019","May 7, 2019","May 15, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
111,"Chicago, IL","September 29, 2016","November 12, 2018","February 15, 2018",2,1,0,1,1,0,"No","Yes","No","Yes",""
112,"Chicago, IL","February 15, 2017","May 3, 2017","May 17, 2017",2,1,0,1,1,0,"No","Yes","No","Yes",""
113,"Chicago, IL","November 11, 2016","January 17, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
114,"Hartford, CT","June 10, 2019","June 10, 2019","June 11, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
115,"Chicago, IL","June 13, 2017","August 20, 2019","August 20, 2019",5,4,0,1,4,0,"No","Yes","No","Yes",""
116,"Boston, MA","February 14, 2016","February 14, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
117,"Palatine, IL","October 2, 2012","July 2, 2022","June 1, 2022",8,5,0,3,5,0,"No","Yes","No","Yes",""
118,"Lisle, IL","November 1, 2017","November 1, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
119,"Chicago, IL","November 6, 2017","November 6, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
120,"Mc Lean, VA","February 16, 2014","July 31, 2014","February 19, 2014",1,1,0,0,1,0,"Yes","Yes","No","Yes","Learning R"
121,"Chicago, IL","August 9, 2010","May 24, 2013","May 30, 2013",2,2,0,0,1,1,"Yes","No","No","Digest","I have not used R or S software but I am familiar with SAS and SPSS."
122,"Chicago, IL","November 6, 2012","August 25, 2017","September 7, 2017",6,2,0,4,2,0,"No","Yes","No","Yes",""
123,"Chicago, IL","June 8, 2019","June 8, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
124,"Chicago, IL","October 15, 2018","November 9, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
125,"Chicago, IL","August 15, 2010","June 22, 2017","May 17, 2017",34,26,0,8,26,0,"No","No","No","Digest",""
126,"Romeoville, IL","October 19, 2015","January 30, 2018","February 15, 2018",4,3,0,1,3,0,"No","Yes","No","Yes",""
127,"Chicago, IL","May 29, 2019","May 29, 2019","June 11, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
128,"Chicago, IL","October 2, 2018","July 1, 2019","March 20, 2019",5,5,0,0,5,0,"No","Yes","No","Yes",""
129,"Chicago, IL","June 11, 2017","June 11, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
130,"Evanston, IL","October 27, 2017","July 23, 2018","July 25, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
131,"Chicago, IL","September 15, 2018","August 13, 2019","October 16, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
132,"Chicago, IL","December 24, 2019","October 15, 2020","",2,0,0,2,0,0,"No","Yes","No","Yes",""
133,"Chicago, IL","September 23, 2020","September 23, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
134,"Chicago, IL","November 12, 2018","February 19, 2020","",1,0,0,1,0,0,"No","No","No","Yes",""
135,"Chicago, IL","October 5, 2012","October 5, 2012","",0,0,0,0,0,0,"No","No","No","Yes",""
136,"Washington, DC","March 20, 2018","March 27, 2018","March 29, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
137,"Chicago, IL","June 21, 2016","February 27, 2019","February 27, 2019",5,4,0,1,4,0,"No","Yes","No","Yes",""
138,"Chicago, IL","April 2, 2015","April 3, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
139,"Chicago, IL","June 24, 2014","June 24, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","Less than a year"
140,"Chicago, IL","August 14, 2015","December 6, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
141,"Chicago, IL","June 18, 2014","June 18, 2014","",0,0,0,0,0,0,"No","Yes","No","Yes","One month"
142,"Glencoe, IL","April 23, 2013","April 30, 2013","",1,0,0,1,0,0,"No","No","No","Yes","3 years"
143,"Cincinnati, OH","October 8, 2014","October 26, 2015","",1,0,0,1,0,0,"No","Yes","No","Yes",""
144,"Chicago, IL","January 18, 2019","November 20, 2019","November 16, 2019",1,1,0,0,1,0,"No","No","No","Yes",""
145,"Chicago, IL","March 2, 2017","March 2, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
146,"Chicago, IL","November 30, 2018","November 30, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
147,"Chicago, IL","August 2, 2016","August 5, 2016","August 3, 2016",1,1,0,0,1,0,"No","No","No","Yes",""
148,"Chicago, IL","March 27, 2018","May 9, 2018","March 29, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
149,"Washington, DC","July 18, 2018","April 29, 2019","July 25, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
150,"Chicago, IL","March 21, 2012","January 22, 2013","February 7, 2013",5,4,0,1,4,0,"Yes","Yes","No","Yes",""
151,"Chicago, IL","September 19, 2011","February 28, 2017","February 7, 2013",4,1,0,3,1,0,"Yes","Yes","No","Yes","1 year"
152,"Chicago, IL","July 7, 2018","January 9, 2019","",0,0,0,0,0,0,"No","No","No","Yes",""
153,"Chicago, IL","January 11, 2017","January 17, 2017","January 24, 2017",1,1,0,0,1,0,"No","No","No","Yes",""
154,"Chicago, IL","February 16, 2017","March 16, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
155,"Chicago, IL","February 15, 2018","February 15, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
156,"Chicago, IL","June 2, 2018","November 6, 2018","November 14, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
157,"Northbrook, IL","January 20, 2015","January 30, 2015","January 29, 2015",1,1,0,0,1,0,"No","No","No","Yes",""
158,"East Lansing, MI","June 19, 2015","July 8, 2016","August 3, 2016",1,1,0,0,1,0,"No","No","No","Yes",""
159,"Chicago, IL","February 19, 2019","February 27, 2019","",1,0,0,1,0,0,"No","Yes","No","Yes",""
160,"Chicago, IL","February 7, 2012","January 18, 2017","October 21, 2015",3,2,0,1,2,0,"No","Yes","No","Yes",""
161,"Seattle, WA","July 24, 2017","February 14, 2019","May 30, 2018",5,5,0,0,5,0,"No","Yes","No","Yes",""
162,"Des Plaines, IL","April 2, 2021","September 2, 2021","",0,0,0,0,0,0,"No","Yes","No","Yes",""
163,"Chicago, IL","December 14, 2012","March 9, 2018","",1,0,0,1,0,0,"No","No","No","Yes",""
164,"Chicago, IL","December 28, 2012","December 14, 2017","March 7, 2017",2,1,0,1,1,0,"No","No","No","Yes",""
165,"Chicago, IL","March 7, 2017","March 7, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
166,"Grayslake, IL","June 5, 2016","June 23, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
167,"Chicago, IL","February 27, 2019","February 27, 2019","February 27, 2019",1,1,0,0,1,0,"No","No","No","Yes",""
168,"Chicago, IL","April 13, 2018","July 1, 2022","July 11, 2022",9,9,0,0,9,0,"Yes","Yes","No","Yes","12 years using R in roles at 4 different companies in market research and retail analytics"
169,"Chicago, IL","January 19, 2012","January 19, 2012","",0,0,0,0,0,0,"No","No","No","Yes",""
170,"Chicago, IL","February 14, 2015","November 9, 2017","November 15, 2017",5,3,0,2,3,0,"Yes","Yes","No","Yes","1-2 months"
171,"Arlington Heights, IL","January 17, 2012","January 25, 2015","",0,0,0,0,0,0,"No","Yes","No","No",""
172,"Chicago, IL","November 3, 2021","November 3, 2021","November 11, 2021",1,1,0,0,1,0,"No","Yes","No","Yes",""
173,"Chicago, IL","September 20, 2020","September 20, 2020","",0,0,0,0,0,0,"No","No","No","Yes",""
174,"Barcelona","February 5, 2015","March 12, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
175,"Chicago, IL","May 30, 2018","May 30, 2018","May 30, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
176,"Chicago, IL","February 26, 2019","February 27, 2019","February 27, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
177,"Chicago, IL","August 1, 2017","August 1, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
178,"Seattle, WA","September 30, 2015","January 16, 2017","October 21, 2015",2,1,0,1,1,0,"No","No","No","Yes","10+ years"
179,"Chicago, IL","March 17, 2018","February 23, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
180,"Chicago, IL","April 28, 2014","May 18, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes",""
181,"Aurora, IL","May 24, 2015","May 24, 2015","",0,0,0,0,0,0,"No","No","No","Yes",""
182,"Chicago, IL","September 22, 2012","September 22, 2012","October 3, 2012",1,1,0,0,1,0,"No","No","No","Yes",""
183,"Chicago, IL","September 22, 2012","March 19, 2014","October 3, 2012",1,1,0,0,1,0,"No","No","No","Yes",""
184,"Chicago, IL","October 2, 2018","October 10, 2018","October 16, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
185,"Chicago, IL","September 29, 2014","September 29, 2014","",0,0,0,0,0,0,"No","No","No","Yes",""
186,"Oak Park, IL","July 14, 2014","July 23, 2014","",0,0,0,0,0,0,"Yes","No","No","Yes","About a year"
187,"Chicago, IL","September 3, 2013","April 15, 2014","April 16, 2014",2,2,0,0,2,0,"Yes","No","No","Yes","6+ years"
188,"Chicago, IL","January 4, 2017","January 4, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
189,"Chicago, IL","December 25, 2018","December 25, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
190,"Chicago, IL","September 17, 2017","September 17, 2017","",0,0,0,0,0,0,"No","No","No","Yes",""
191,"Chicago, IL","July 6, 2018","August 14, 2019","August 20, 2019",3,3,0,0,3,0,"No","Yes","No","Yes",""
192,"Chicago, IL","April 14, 2018","July 25, 2018","July 25, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
193,"Melbourne","May 23, 2020","May 23, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
194,"Chicago, IL","March 14, 2018","August 29, 2018","August 30, 2018",4,3,0,1,3,0,"No","Yes","No","Yes",""
195,"Chicago, IL","July 20, 2017","July 20, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
196,"Coppell, TX","December 20, 2014","December 20, 2014","",0,0,0,0,0,0,"No","Yes","No","Yes",""
197,"Chicago, IL","March 11, 2015","April 2, 2015","",0,0,0,0,0,0,"No","No","No","Yes",""
198,"Chicago, IL","November 6, 2013","August 31, 2020","November 13, 2014",7,1,0,6,1,0,"Yes","Yes","No","Yes","Used R in college, started up again in fall 2013."
199,"New York, NY","June 15, 2020","June 15, 2020","",0,0,0,0,0,0,"No","No","No","Yes",""
200,"Chicago, IL","February 21, 2017","February 21, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
201,"Brooklyn, NY","June 20, 2017","May 11, 2018","February 15, 2018",7,6,0,1,6,0,"No","Yes","No","Yes",""
202,"Chicago, IL","January 21, 2019","October 22, 2019","October 24, 2019",3,3,0,0,3,0,"No","No","No","Yes",""
203,"Chicago, IL","May 30, 2019","June 5, 2019","June 11, 2019",1,1,0,0,1,0,"No","No","No","Yes",""
204,"Chicago, IL","July 19, 2017","January 31, 2020","January 29, 2020",4,4,0,0,4,0,"No","Yes","No","Yes",""
205,"Lake Zurich, IL","May 24, 2019","May 24, 2019","",0,0,0,0,0,0,"No","No","No","Yes",""
206,"Chicago, IL","October 1, 2012","November 12, 2012","",2,1,0,1,0,1,"No","No","No","Yes","6 months"
207,"Matteson, IL","January 22, 2022","January 22, 2022","",0,0,0,0,0,0,"No","No","No","Yes",""
208,"Chicago, IL","June 8, 2012","November 5, 2021","January 26, 2017",11,9,0,2,9,0,"Yes","Yes","No","No",""
209,"Chicago, IL","February 6, 2015","March 9, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
210,"Chicago, IL","June 10, 2015","January 23, 2017","September 1, 2016",3,2,0,1,2,0,"No","Yes","No","Yes",""
211,"Portland, OR","July 23, 2019","July 23, 2019","July 30, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
212,"Chicago, IL","September 12, 2018","September 12, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
213,"San Francisco, CA","December 9, 2011","March 25, 2014","October 3, 2012",4,3,0,1,3,0,"No","Yes","No","No","I'm new to that!"
214,"Chicago, IL","September 5, 2017","February 10, 2020","November 26, 2019",5,5,0,0,5,0,"No","No","No","Yes",""
215,"Chicago, IL","September 16, 2016","September 26, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
216,"Chicago, IL","January 26, 2012","February 26, 2015","January 26, 2012",1,1,0,0,1,0,"No","Yes","No","Yes",""
217,"Seattle, WA","May 4, 2016","May 23, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
218,"Chicago, IL","August 31, 2015","August 31, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
219,"Chicago, IL","February 25, 2011","September 22, 2016","September 28, 2016",2,2,0,0,2,0,"No","Yes","No","Yes",""
220,"Evanston, IL","May 15, 2017","May 15, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
221,"Chicago, IL","June 1, 2018","June 1, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
222,"Chicago, IL","July 13, 2016","July 13, 2016","",0,0,0,0,0,0,"No","Yes","No","Yes",""
223,"Chicago, IL","November 28, 2018","November 28, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
224,"Chicago, IL","August 30, 2013","July 23, 2016","",1,0,0,1,0,0,"No","No","No","Yes",""
225,"Chicago, IL","October 1, 2017","June 11, 2019","March 29, 2018",4,1,0,3,1,0,"No","No","No","Digest",""
226,"Chicago, IL","February 12, 2020","February 12, 2020","February 19, 2020",1,1,0,0,1,0,"No","Yes","No","Yes",""
227,"Farmington, MI","December 7, 2015","December 7, 2015","",0,0,0,0,0,0,"No","Yes","No","No",""
228,"Mokena, IL","November 8, 2015","November 8, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
229,"Chicago, IL","March 2, 2015","March 2, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
230,"Chicago, IL","October 28, 2014","January 25, 2020","January 29, 2020",15,15,0,0,14,1,"Yes","Yes","No","Yes",""
231,"Chicago, IL","April 7, 2015","July 25, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
232,"Mendoza","September 27, 2020","September 27, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
233,"Chicago, IL","July 24, 2018","May 18, 2022","June 1, 2022",4,4,0,0,4,0,"No","Yes","No","Yes",""
234,"Chicago, IL","October 4, 2018","March 5, 2019","October 16, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
